Seventeenth Lok Sabha,,
Sitting Members (Alphabetical),,
Name of Member,Party Name,Constituency & State
Shri P.R. Natarajan,Communist Party of India (Marxist),Coimbatore (Tamil Nadu)
Shri Balak Nath,Bharatiya Janata Party,Alwar (Rajasthan)
Shri Nakul K. Nath,Indian National Congress,Chhindwara (Madhya Pradesh)
Shri Ashok Mahadeorao Nete,Bharatiya Janata Party,Gadchiroli-Chimur (ST)(Maharashtra)
Shri Ajay Nishad,Bharatiya Janata Party,Muzaffarpur (Bihar)
Shri Praveen Kumar Nishad,Bharatiya Janata Party,Sant Kabir Nagar (Uttar Pradesh)
Dr. Ramesh Pokhriyal Nishank,Bharatiya Janata Party,Hardwar (Uttarakhand)
Smt. Queen Oja,Bharatiya Janata Party,Gauhati (Assam)
Shri Jual Oram,Bharatiya Janata Party,Sundargarh (ST)(Odisha)
Shri Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,Hyderabad (Telangana)
Dr. T. R. Paarivendhar,Dravida Munnetra Kazhagam,Perambalur (Tamil Nadu)
Shri Satyadev Pachauri,Bharatiya Janata Party,Kanpur (Uttar Pradesh)
Shri Jagdambika Pal,Bharatiya Janata Party,Domariyaganj (Uttar Pradesh)
Shri Vincent H. Pala,Indian National Congress,Shillong (ST)(Meghalaya)
Shri S.S. Palanimanickam,Dravida Munnetra Kazhagam,Thanjavur (Tamil Nadu)
Shri Basanta Kumar Panda,Bharatiya Janata Party,Kalahandi (Odisha)
Dr. Mahendra Nath Pandey,Bharatiya Janata Party,Chandauli (Uttar Pradesh)
Shri Ritesh Pandey,Bahujan Samaj Party,Ambedkar Nagar (Uttar Pradesh)
Shri Santosh Pandey,Bharatiya Janata Party,Rajnandgaon (Chhattisgarh)
Shri Pashupati Kumar Paras,Lok Jan Shakti Party,Hajipur (SC)(Bihar)
Shri Som Parkash,Bharatiya Janata Party,Hoshiarpur (SC)(Punjab)
Shri S.R. Parthiban,Dravida Munnetra Kazhagam,Salem (Tamil Nadu)
Shri Dayakar Pasunoori,Telangana Rashtra Samithi,Warangal (SC)(Telangana)
Shri Chhedi Paswan,Bharatiya Janata Party,Sasaram (SC)(Bihar)
Shri Chirag Paswan,Lok Jan Shakti Party,Jamui (SC)(Bihar)
Shri Kamlesh Paswan,Bharatiya Janata Party,Bansgaon (SC)(Uttar Pradesh)
Smt. Anupriya Patel,Apna Dal,Mirzapur (Uttar Pradesh)
Shri Devji Mansingram Patel,Bharatiya Janata Party,Jalore (Rajasthan)
Shri Gajendra Singh Patel,Bharatiya Janata Party,Khargone (ST)(Madhya Pradesh)
Shri Hasmukhbhai Somabhai Patel,Bharatiya Janata Party,Ahmedabad East (Gujarat)
Dr. K. C. Patel,Bharatiya Janata Party,Valsad (ST)(Gujarat)
Smt. Keshari Devi Patel,Bharatiya Janata Party,Phulpur (Uttar Pradesh)
Shri Lalubhai Babubhai Patel,Bharatiya Janata Party,Daman and Diu (Daman and Diu)
Shri Mitesh Rameshbhai Patel,Bharatiya Janata Party,Anand (Gujarat)
Shri Parbatbhai Savabhai Patel,Bharatiya Janata Party,Banaskantha (Gujarat)
